uniqueid,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,staxids
1,Met02.1;size=3;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
2,Met02.1;size=3;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
3,Met02.1;size=3;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
4,Met02.2;size=3;,gi|332801940|gb|JF793220.1|,98.083,313,5,1,1,312,345,657,1.22E-150,544,1031123
5,Met02.2;size=3;,gi|157863082|gb|EF555595.1|,99.291,282,1,1,32,312,1,282,4.45E-140,508,460827
6,Met02.2;size=3;,gi|157863080|gb|EF555594.1|,98.947,285,2,1,29,312,1,285,4.45E-140,508,460827
7,Met03.2;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
8,Met03.2;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
9,Met03.2;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
10,Met03.3;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
11,Met03.3;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
12,Met03.3;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
13,Met05.1;size=1;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
14,Met05.1;size=1;,gi|157863082|gb|EF555595.1|,99.291,282,2,0,32,313,1,282,1.24E-140,510,460827
15,Met05.1;size=1;,gi|157863080|gb|EF555594.1|,98.947,285,3,0,29,313,1,285,1.24E-140,510,460827
16,Met06.1;size=3;,gi|332801940|gb|JF793220.1|,98.083,313,6,0,1,313,345,657,3.40E-151,545,1031123
17,Met06.1;size=3;,gi|157863082|gb|EF555595.1|,99.291,282,2,0,32,313,1,282,1.24E-140,510,460827
